ccode	leader	eindate	eoutdate
435	Ould Sidi	27may1979	31may1979
435	Ould Ahmed Louly	03jun1979	04jan1980
436	Diori	03oct1960	15apr1974
436	Kountche	17apr1974	10nov1987
437	Houphouet-Boigny	07aug1960	07dec1993
438	Toure	02oct1958	26mar1984
439	Gerard Kango Ouedraogo	13jan1971	08feb1974
439	Lamizana	08feb1974	25nov1980
450	Tolbert	23jul1971	12apr1980
451	Stevens	19apr1968	28nov1985
452	Acheampong	13jan1972	05jul1978
452	Akuffo	05jul1978	04jun1979
452	Rawlings	05jun1979	24sep1979
452	Limann	24sep1979	31dec1981
461	Eyadema	14apr1967	05feb2005
471	Ahidjo	01jan1960	06nov1982
475	Gowon	29jul1966	29jul1975
475	Ramat Mohammed	29jul1975	13feb1976
475	Obasanjo	13feb1976	01oct1979
475	Shagari	01oct1979	31dec1983
481	Bongo	28nov1967	08jun2009
482	Bokassa	01jan1966	21sep1979
482	Dacko	21sep1979	01sep1981
483	Tombalbaye	11aug1960	13apr1975
483	Malloum	15apr1975	23mar1979
483	Oueddei	23mar1979	07jun1982
484	Ngouabi	01jan1969	18mar1977
484	Opango	18mar1977	05feb1979
484	Nguesso	08feb1979	20aug1992
490	Mobutu	25nov1965	16may1997
500	Amin	25jan1971	11apr1979
500	Yusuf Lule	13apr1979	20jun1979
500	Banaisa	20jun1979	12may1980
501	Kenyatta	12dec1963	22aug1978
501	Moi	22aug1978	30dec2002
510	Nyerere	09nov1961	05nov1985
516	Micombero	28nov1966	01nov1976
516	Bagaza	09nov1976	03sep1987
517	Kayibanda	26oct1961	05jul1973
517	Habyarimana	05jul1973	06apr1994
520	Siad Barre	21oct1969	26jan1991
522	Gouled Aptidon	27jun1977	08may1999
530	Selassie	05may1941	12sep1974
530	Andom	12sep1974	23nov1974
530	Banti	28nov1974	03feb1977
530	Mengistu Marriam	11feb1977	21may1991
540	Neto	11nov1975	10sep1979
540	Dos Santos	10sep1979	31dec2015
541	Machel	25jun1975	19oct1986
551	Kaunda	24oct1964	02nov1991
552	Smith	11nov1965	23may1979
552	Muzorewa	29may1979	11dec1979
553	Banda	06jul1964	21may1994
560	Vorster	13sep1966	28sep1978
560	Botha	28sep1978	18jan1989
570	Jonathan	04oct1966	20jan1986
571	Khama	30sep1966	13jul1980
